Session;Identifiant de l'établissement;Nom de l'établissement;Types d'établissement;Types de formation;Nom long de la formation;Mentions/Spécialités;Domaine;Formations en apprentissage;Internat;Aménagement;Informations complémentaires;Région;Département;Commune;Lien vers la fiche formation;Lien vers les données statistiques pour l'année antérieure;Site internet de l'établissement;Localisation;Nom court de la formation;Code interne Parcoursup de la formation;Code interne Parcoursup pour les portails;etablissement_id_paysage;composante_id_paysage;rnd;code_formation
2025;0560117Y;Lycée St Paul (Vannes - 56);Privés en contrat avec l’Etat / EESC;BTS - BTSA - BTSM;BTS - Services - Professions immobilières;BTS - Professions immobilières;Immobilier;;;Enseignement en présentiel;;Bretagne;Morbihan;Vannes;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=41273&typeBac=0&originePc=0;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=41273;http://www.stpaul-stgeorges.fr/;47.6498, -2.76292;BTS-PI;41273;41273;494D4;;30803;442
2025;0756363J;Of-Cfa Diploma Sup (Paris 20e  Arrondissement - 75);Privés;Etudes de santé,BTS - BTSA - BTSM;BTS - Services - Opticien-Lunetier - en apprentissage;BTS - Opticien-Lunetier;Santé et Esthétique;Formations en apprentissage;;Enseignement partiellement à distance;;Île-de-France;Paris;Paris;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=41281&typeBac=0&originePc=0;;https://www.ensao.fr;48.85012, 2.40107;BTS-Opt-Lunet-App;41281;41281;;;27263;1368
2025;0682087Z;S2B - Sahneo (Mulhouse - 68);Privés;BTS - BTSA - BTSM;BTS - Services - Economie sociale familiale - en apprentissage;BTS - Economie sociale familiale;Social et Education;Formations en apprentissage;;Enseignement en présentiel;;Grand Est;Haut-Rhin;Mulhouse;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=41288&typeBac=0&originePc=0;;https://sahneo.com/;47.74688, 7.30001;BTS-ESF-App;41288;41288;;;13739;1462
2025;0682087Z;S2B - Sahneo (Mulhouse - 68);Privés;BTS - BTSA - BTSM;BTS - Services - Services et prestations des secteurs sanitaire et social - en apprentissage;BTS - Services et prestations des secteurs sanitaire et social;Social et Education;Formations en apprentissage;;Enseignement en présentiel;;Grand Est;Haut-Rhin;Mulhouse;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=41289&typeBac=0&originePc=0;;https://sahneo.com/;47.74688, 7.30001;BTS-SP3S-App;41289;41289;;;20534;1367
2025;0062362K;INSECC (Nice - 06);Privés;BTS - BTSA - BTSM;BTS - Services - Comptabilité et gestion - en apprentissage;BTS - Comptabilité et gestion;Commerce et Management, Economie et Finance;Formations en apprentissage;;Enseignement en présentiel;;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;Nice;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=41299&typeBac=0&originePc=0;;https://insecc-nice.fr/;43.7, 7.25;BTS-CG-App;41299;41299;;;22354;1486
2025;0756413N;Of-Cfa Institut Aéronautique Amaury de la Grange (Paris 19e  Arrondissement - 75);Privés;Certificats de spécialisation et FCIL;Certificat de Spécialisation - Aéronautique option avionique - en apprentissage;CS - Aéronautique option avionique;Ingénierie et Technologie;Formations en apprentissage;;Enseignement en présentiel;;Île-de-France;Paris;Paris;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=41303&typeBac=0&originePc=0;;https://www.iaag-aero.com/;48.88563, 2.37222;CS-A-Opt.A-App;41303;41303;;;30529;491002
2025;0422295S;IFC LOIRE (Saint-Etienne - 42);Privés;BTS - BTSA - BTSM;BTS - Services - Assurance - en apprentissage;BTS - Assurance;Economie et Finance;Formations en apprentissage;;Enseignement en présentiel;;Auvergne-Rhône-Alpes;Loire;Saint-Étienne;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=41306&typeBac=0&originePc=0;;http://www.ifc.fr;45.43333, 4.4;BTS-ASS-App;41306;41306;;;19646;1443
2025;0241321F;AFTRAL Périgueux (Sanilhac - 24);Privés;BTS - BTSA - BTSM;BTS - Services - Gestion des transports et logistique associée - en apprentissage;BTS - Gestion des transports et logistique associée;Logistique et Transport;Formations en apprentissage;;Enseignement en présentiel;;Nouvelle-Aquitaine;Dordogne;Sanilhac;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=41326&typeBac=0&originePc=0;;https://www.aftral.com/aftral-pres-de-chez-vous/aftral/aftral-perigueux;45.11667, 0.71667;BTS-GTLA-App;41326;41326;;;24562;11424
2025;0741622L;Ecole privée ECORIS (Annecy - 74);Privés;BTS - BTSA - BTSM;BTS - Services - Assurance - en apprentissage;BTS - Assurance;Economie et Finance;Formations en apprentissage;;Enseignement en présentiel;;Auvergne-Rhône-Alpes;Haute-Savoie;Annecy;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=41336&typeBac=0&originePc=0;;http://www.ecoris.com;45.9283, 6.16729;BTS-ASS-App;41336;41336;;;27134;1443
2025;0600015R;Lycée Mireille Grenet (Compiègne - 60);Publics;BTS - BTSA - BTSM;BTS - Production - Pilotage des procédés - en apprentissage;BTS - Pilotage des procédés;Technique et Industrie;Formations en apprentissage;;Enseignement en présentiel,Formations avec aménagements pour sportifs haut niveau,Formations avec aménagements pour artistes confirmés,Formations avec aménagements pour autres publics spécifiques;;Hauts-de-France;Oise;Compiègne;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=41349&typeBac=0&originePc=0;;https://www.lycee-mireille-grenet.fr/;49.4019, 2.81765;BTS-PP-App;41349;41349;;;6865;11405
